Estrazione del 2019-09-04
idImpianto;descCarburante;prezzo;isSelf;dtComu
3464;Benzina;1.919;0;03/09/2019 21:30:11
3464;Benzina;1.659;1;03/09/2019 21:30:11
3464;Gasolio;1.815;0;03/09/2019 21:30:11
3464;Gasolio;1.555;1;03/09/2019 21:30:11
3464;Metano;1.154;0;03/09/2019 21:30:11
3464;GPL;0.709;0;03/09/2019 21:30:11
3464;Excellium Diesel;1.659;1;03/09/2019 21:30:11
3467;Benzina;1.794;0;03/09/2019 11:35:27
3467;Benzina;1.669;1;03/09/2019 11:35:27
3467;Gasolio;1.681;0;03/09/2019 11:35:27
3467;Gasolio;1.555;1;03/09/2019 11:35:27
3467;Metano;1.044;0;03/09/2019 11:35:27
3467;GPL;0.636;0;03/09/2019 11:35:27
3467;Blue Super;1.944;0;03/09/2019 11:35:27
3467;Blue Super;1.819;1;03/09/2019 11:35:27
3467;Blue Diesel;1.781;0;03/09/2019 11:35:27
3467;Blue Diesel;1.655;1;03/09/2019 11:35:27
3467;Gasolio Alpino;1.681;0;03/09/2019 11:35:27
3467;Gasolio Alpino;1.555;1;03/09/2019 11:35:27
3468;Benzina;1.948;0;10/07/2019 10:08:56
3468;Benzina;1.787;1;10/07/2019 10:08:56
3468;Gasolio;1.850;0;10/07/2019 10:08:56
3468;Gasolio;1.689;1;10/07/2019 10:08:56
3468;GPL;0.689;0;10/07/2019 10:08:56
3468;Gasolio Oro Diesel;1.930;0;10/07/2019 10:08:56
3468;Gasolio Oro Diesel;1.769;1;10/07/2019 10:08:56
3468;Gasolio artico;0.001;0;10/07/2019 10:08:56
3468;Gasolio artico;0.001;1;10/07/2019 10:08:56
3470;Benzina;2.115;0;22/05/2017 09:30:33
3470;Benzina;1.925;1;22/05/2017 09:30:33
3470;Gasolio;2.080;0;22/05/2017 09:30:33
3470;Gasolio;1.890;1;22/05/2017 09:30:33
3470;Blue Super;2.265;0;22/05/2017 09:30:33
3470;Blue Super;2.075;1;22/05/2017 09:30:33
3470;Blue Diesel;2.180;0;22/05/2017 09:30:33
3470;Blue Diesel;1.990;1;22/05/2017 09:30:33
3471;Benzina;1.647;1;30/08/2019 18:00:11
